DBInstanceIdentifier|DBName|AvailabilityZone|Engine|DBInstanceClass|Endpoint|VpcId|subnet|Launch_Time|acc_id|Owner|CostCenter|ClarityID|APPType|Environment|BillingContact|InstanceState|BackupID|SchedulerID|TerminationDate|ExceptionList|ChargeID|BackupDR
cdlprod|CDLPROD|us-east-1b|oracle-se2|db.m5.large|cdlprod.cr7gx6kubnmh.us-east-1.rds.amazonaws.com|vpc-0e66a16a|subnet-e172e597,subnet-e5892dcf,subnet-03565babbebac306d|2020-04-26 21:20:31|128010802554|Technology Architecture and Digital|I-001708|043842|Amazon RDS Oracle|PRD|KUMARP2R|null|null|NOT_REQUESTED|null|NOT_APPLICABLE|null|NOT_REQUESTED
dlkprd01|DLKPRD01|us-east-1b|oracle-ee|db.m5.large|dlkprd01.cr7gx6kubnmh.us-east-1.rds.amazonaws.com|vpc-0e66a16a|subnet-e172e597,subnet-e5892dcf,subnet-03565babbebac306d|2016-10-19 07:01:15|128010802554|Commercial IT|I-001708|050495|Amazon RDS Oracle|PRD|LONGGR1|null|null|NOT_REQUESTED|null|NOT_APPLICABLE|null|NOT_REQUESTED
droidprd03|droidprd03|us-east-1c|postgres|db.r6g.xlarge|droidprd03.cr7gx6kubnmh.us-east-1.rds.amazonaws.com|vpc-0e66a16a|subnet-77bfeb5c,subnet-9b3e31ec,subnet-090a4072da87ee044|2021-02-09 13:27:44|128010802554|Technology Architecture and Digital|I430001256|044711|Amazon RDS PostgreSQL|PRD|PATELHIB|null|null|NOT_REQUESTED|null|NOT_APPLICABLE|null|NOT_REQUESTED
droidqadb|droidqadb|us-east-1b|postgres|db.r6g.xlarge|droidqadb.cr7gx6kubnmh.us-east-1.rds.amazonaws.com|vpc-0e66a16a|subnet-77bfeb5c,subnet-9b3e31ec,subnet-090a4072da87ee044|2022-02-01 18:39:11|128010802554|Technology Architecture and Digital|1-42165.1.01|050495|Amazon RDS PostgreSQL|PPRD|SUNDASH6|null|null|NOT_REQUESTED|null|NOT_APPLICABLE|null|NOT_REQUESTED
ebxpprd|EBXPPROD|us-east-1c|oracle-se2|db.m5.2xlarge|ebxpprd.cr7gx6kubnmh.us-east-1.rds.amazonaws.com|vpc-0e66a16a|subnet-70bfeb5b,subnet-9f3e31e8,subnet-068e1523419c96a6a|2022-03-28 18:41:21|128010802554|Technology Architecture and Digital|20103760|046143|Amazon RDS Oracle|PPRD|GUPTAAJ6|null|null|NOT_REQUESTED|null|NOT_APPLICABLE|null|NOT_REQUESTED
ebxpprd2|EBXPPRD2|us-east-1c|oracle-ee|db.r5.xlarge|ebxpprd2.cr7gx6kubnmh.us-east-1.rds.amazonaws.com|vpc-0e66a16a|subnet-70bfeb5b,subnet-9f3e31e8,subnet-068e1523419c96a6a|2022-03-09 15:08:42|128010802554|Technology Architecture and Digital|20103760|050820|Amazon RDS Oracle|PRD|GUPTAAJ6|null|null|NOT_REQUESTED|null|NOT_APPLICABLE|null|NOT_REQUESTED
ebxprd01|EBXPRD01|us-east-1c|oracle-se2|db.m5.2xlarge|ebxprd01.cr7gx6kubnmh.us-east-1.rds.amazonaws.com|vpc-0e66a16a|subnet-e172e597,subnet-e5892dcf,subnet-03565babbebac306d|2022-03-29 17:50:16|128010802554|Technology Architecture and Digital|20103760|046143|Amazon RDS Oracle|PRD|GUPTAAJ6|null|null|NOT_REQUESTED|null|NOT_APPLICABLE|null|NOT_REQUESTED
ebxprdlp|EBXPRDLP|us-east-1c|oracle-se2|db.m5.2xlarge|ebxprdlp.cr7gx6kubnmh.us-east-1.rds.amazonaws.com|vpc-0e66a16a|subnet-e172e597,subnet-e5892dcf,subnet-03565babbebac306d|2021-09-28 08:50:59|128010802554|Technology Architecture and Digital|1-42165.1.01|046143|Amazon RDS Oracle|PRD|SUNDASH6|null|null|NOT_REQUESTED|null|NOT_APPLICABLE|null|NOT_REQUESTED
ebxprod02|EBXPROD2|us-east-1c|oracle-ee|db.m5.2xlarge|ebxprod02.cr7gx6kubnmh.us-east-1.rds.amazonaws.com|vpc-0e66a16a|subnet-e172e597,subnet-e5892dcf,subnet-03565babbebac306d|2021-09-28 13:00:52|128010802554|Technology Architecture and Digital|1-42165.1.01|046143|Amazon RDS Oracle|PRD|SUNDASH6|null|null|NOT_REQUESTED|null|NOT_APPLICABLE|null|NOT_REQUESTED
ebxprod02-backup|EBXGBLP|us-east-1c|oracle-ee|db.m5.2xlarge|ebxprod02-backup.cr7gx6kubnmh.us-east-1.rds.amazonaws.com|vpc-0e66a16a|subnet-e172e597,subnet-e5892dcf,subnet-03565babbebac306d|2021-09-28 09:55:13|128010802554|Technology Architecture and Digital|1-42165.1.01|046143|Amazon RDS Oracle|PRD|SUNDASH6|null|null|NOT_REQUESTED|null|NOT_APPLICABLE|null|NOT_REQUESTED
ebxprod03|EBXPROD3|us-east-1c|oracle-ee|db.m5.2xlarge|ebxprod03.cr7gx6kubnmh.us-east-1.rds.amazonaws.com|vpc-0e66a16a|subnet-e172e597,subnet-e5892dcf,subnet-03565babbebac306d|2021-10-11 07:08:33|128010802554|Technology Architecture and Digital|1-42165.1.01|046143|Amazon RDS Oracle|PRD|SUNDASH6|null|null|NOT_REQUESTED|null|NOT_APPLICABLE|null|NOT_REQUESTED
ebxprod4|EBXPROD4|us-east-1c|oracle-ee|db.m5.2xlarge|ebxprod4.cr7gx6kubnmh.us-east-1.rds.amazonaws.com|vpc-0e66a16a|subnet-e172e597,subnet-e5892dcf,subnet-03565babbebac306d|2022-03-08 11:17:04|128010802554|Technology and Infrastructure Service|1-42165.1.01|050820|Amazon RDS Oracle|PRD|SUNDASH6|null|EBS-NVS-D-35_GMTmin5|SCH-NVS-WRKDAYS_GMTmin5|null|NOT_APPLICABLE|null|NOT_REQUESTED
ebxprodbackup01|EBXPRODB|us-east-1b|oracle-ee|db.m5.2xlarge|ebxprodbackup01.cr7gx6kubnmh.us-east-1.rds.amazonaws.com|vpc-0e66a16a|subnet-e172e597,subnet-e5892dcf,subnet-03565babbebac306d|2023-10-20 13:04:16|128010802554|Technology Architecture and Digital|1-42165.1.01|046143|Amazon RDS Oracle|PRD|SUNDASH6|null|null|NOT_REQUESTED|null|NOT_APPLICABLE|null|NOT_REQUESTED
ebxqa|EBXQA|us-east-1c|oracle-ee|db.m5.2xlarge|ebxqa.cr7gx6kubnmh.us-east-1.rds.amazonaws.com|vpc-0e66a16a|subnet-70bfeb5b,subnet-9f3e31e8,subnet-068e1523419c96a6a|2021-10-29 07:54:43|128010802554|Technology Architecture and Digital|868556|046143|Amazon RDS Oracle|PPRD|GUPTAAJ6|null|null|SCH-NVS-WRKDAYS_GMTmin5|null|NOT_APPLICABLE|null|NOT_REQUESTED
ebxqa02|EBXQA02|us-east-1c|oracle-ee|db.r5.xlarge|ebxqa02.cr7gx6kubnmh.us-east-1.rds.amazonaws.com|vpc-0e66a16a|subnet-70bfeb5b,subnet-9f3e31e8,subnet-068e1523419c96a6a|2022-01-28 12:51:59|128010802554|Technology Architecture and Digital|20103760|050820|Amazon RDS Oracle|PPRD|GUPTAAJ6|null|null|NOT_REQUESTED|null|NOT_APPLICABLE|null|NOT_REQUESTED
evico-prd-k8s|evicoprdhue2|us-east-1b|postgres|db.t4g.micro|evico-prd-k8s.cr7gx6kubnmh.us-east-1.rds.amazonaws.com|vpc-0e66a16a|subnet-77bfeb5c,subnet-9b3e31ec,subnet-090a4072da87ee044|2020-05-03 13:50:29|128010802554|TAD|410000806|044711|Amazon RDS PostgreSQL|PPRD|PATELHIB|null|null|NOT_REQUESTED|null|null|EVICO-RDS-ID01|NOT_REQUESTED
evico-sbx-k8s|evicosbxk8s|us-east-1b|postgres|db.t4g.micro|evico-sbx-k8s.cr7gx6kubnmh.us-east-1.rds.amazonaws.com|vpc-0e66a16a|subnet-77bfeb5c,subnet-9b3e31ec,subnet-090a4072da87ee044|2020-05-03 13:24:24|128010802554|TAD|410000806|044711|Amazon RDS PostgreSQL|PPRD|PATELHIB|null|null|NOT_APPLICABLE|null|EXC_NVS-EC2-EXC012_NA_RITM7061873_20240831|EVICO-RDS-ID01|NOT_REQUESTED
f1aiprd01-instance-1|f1aiprd01|us-east-1b|aurora-postgresql|db.r6g.xlarge|f1aiprd01-instance-1.cr7gx6kubnmh.us-east-1.rds.amazonaws.com|vpc-0e66a16a|subnet-77bfeb5c,subnet-9b3e31ec,subnet-090a4072da87ee044|2021-08-30 12:08:59|128010802554|Technology Architecture and Digital|1-42165.1.01|050632|Amazon RDS Aurora PostgreSQL|PRD|RAJAMRA1|null|null|NOT_REQUESTED|null|EXC_NVS-RDS-EXC036_NA_RITM5805355_20240507|null|NOT_REQUESTED
f1aiprd01-instance-1-us-east-1c|f1aiprd01|us-east-1c|aurora-postgresql|db.t3.medium|f1aiprd01-instance-1-us-east-1c.cr7gx6kubnmh.us-east-1.rds.amazonaws.com|vpc-0e66a16a|subnet-77bfeb5c,subnet-9b3e31ec,subnet-090a4072da87ee044|2021-08-30 12:20:47|128010802554|Technology Architecture and Digital|1-42165.1.01|050632|Amazon RDS Aurora PostgreSQL|PRD|RAJAMRA1|null|null|NOT_REQUESTED|null|EXC_NVS-RDS-EXC036_NA_RITM5805355_20240507|null|NOT_REQUESTED
f1aiqa01-instance-1|f1aiqa01|us-east-1b|aurora-postgresql|db.t3.medium|f1aiqa01-instance-1.cr7gx6kubnmh.us-east-1.rds.amazonaws.com|vpc-0e66a16a|subnet-77bfeb5c,subnet-9b3e31ec,subnet-090a4072da87ee044|2021-07-08 20:50:45|128010802554|TAD|1-42165.1.01|050632|Amazon RDS Aurora PostgreSQL|PPRD|RAJAMRA1|null|null|NOT_REQUESTED|null|EXC_NVS-RDS-EXC036_NA_RITM5805355_20240507|null|NOT_REQUESTED
f1aiqa01-instance-1-us-east-1c|f1aiqa01|us-east-1c|aurora-postgresql|db.t3.medium|f1aiqa01-instance-1-us-east-1c.cr7gx6kubnmh.us-east-1.rds.amazonaws.com|vpc-0e66a16a|subnet-77bfeb5c,subnet-9b3e31ec,subnet-090a4072da87ee044|2021-07-08 20:56:16|128010802554|TAD|1-42165.1.01|050632|Amazon RDS Aurora PostgreSQL|PPRD|RAJAMRA1|null|null|NOT_REQUESTED|null|EXC_NVS-RDS-EXC036_NA_RITM5805355_20240507|null|NOT_REQUESTED
f1-airflow-container-prd-01|f1airflowcontainerprd01|us-east-1c|postgres|db.r6g.2xlarge|f1-airflow-container-prd-01.cr7gx6kubnmh.us-east-1.rds.amazonaws.com|vpc-0e66a16a|subnet-ee72e598,subnet-fe892dd4,subnet-04647d10227fe8649|2021-04-15 14:17:49|128010802554|TAD|1-42165.1.01|045879|Amazon RDS PostgreSQL|PRD|DENGFA3|null|null|NOT_REQUESTED|null|NOT_APPLICABLE|null|NOT_REQUESTED
f1-airflow-container-qa-01|n/a|us-east-1b|postgres|db.r6g.2xlarge|f1-airflow-container-qa-01.cr7gx6kubnmh.us-east-1.rds.amazonaws.com|vpc-0e66a16a|subnet-77bfeb5c,subnet-9b3e31ec,subnet-090a4072da87ee044|2021-04-07 21:28:19|128010802554|TAD|1-42165.1.01|045879|Amazon RDS PostgreSQL|PPRD|DENGFA3|null|EBS-NVS-D-35_GMTmin5|SCH-NVS-WRKDAYS_GMTmin5|null|NOT_APPLICABLE|null|NOT_REQUESTED
f1artifactoryprodus01-instance-1|f1artifactoryprodus01|us-east-1c|aurora-postgresql|db.r6g.large|f1artifactoryprodus01-instance-1.cr7gx6kubnmh.us-east-1.rds.amazonaws.com|vpc-0e66a16a|subnet-77bfeb5c,subnet-9b3e31ec,subnet-090a4072da87ee044|2022-01-04 17:56:04|128010802554|TAD|1-42165.1.01|046374|Amazon RDS Aurora PostgreSQL|PRD|SUNDASH6|null|null|NOT_REQUESTED|null|NOT_APPLICABLE|null|NOT_REQUESTED
f1artifactoryprodus01-instance-1-us-east-1b|f1artifactoryprodus01|us-east-1b|aurora-postgresql|db.r6g.large|f1artifactoryprodus01-instance-1-us-east-1b.cr7gx6kubnmh.us-east-1.rds.amazonaws.com|vpc-0e66a16a|subnet-77bfeb5c,subnet-9b3e31ec,subnet-090a4072da87ee044|2022-01-04 18:08:12|128010802554|TAD|1-42165.1.01|046374|Amazon RDS Aurora PostgreSQL|PRD|SUNDASH6|null|null|NOT_REQUESTED|null|NOT_APPLICABLE|null|NOT_REQUESTED
f1centreeontologyprd01|f1centreeontologyprd01|us-east-1a|postgres|db.m6g.large|f1centreeontologyprd01.cr7gx6kubnmh.us-east-1.rds.amazonaws.com|vpc-0e66a16a|subnet-ee72e598,subnet-fe892dd4,subnet-04647d10227fe8649|2022-08-02 08:10:15|128010802554|Technology Architecture and Digital|1-42165.1.01|050495|Amazon RDS PostgreSQL|PRD|RAJAMRA1|null|null|NOT_REQUESTED|null|NOT_APPLICABLE|null|NOT_REQUESTED
f1centreeontologyqa01|f1centreeontologyqa01|us-east-1c|postgres|db.m6g.large|f1centreeontologyqa01.cr7gx6kubnmh.us-east-1.rds.amazonaws.com|vpc-0e66a16a|subnet-77bfeb5c,subnet-9b3e31ec,subnet-090a4072da87ee044|2022-06-21 10:07:47|128010802554|Technology Architecture and Digital|1-41460.2|050495|Amazon RDS PostgreSQL|PPRD|RAJAMRA1|null|null|NOT_REQUESTED|null|NOT_APPLICABLE|null|NOT_REQUESTED
f1centreeontologystg01|f1centreeontologystg01|us-east-1a|postgres|db.m6g.large|f1centreeontologystg01.cr7gx6kubnmh.us-east-1.rds.amazonaws.com|vpc-0e66a16a|subnet-77bfeb5c,subnet-9b3e31ec,subnet-090a4072da87ee044|2022-10-18 16:30:33|128010802554|Technology Architecture and Digital|1-42165.1.01|050495|Amazon RDS PostgreSQL|TST|RAJAMRA1|null|null|NOT_REQUESTED|null|NOT_APPLICABLE|null|NOT_REQUESTED
f1idqprd|F1IDQPRD|us-east-1c|oracle-se2|db.m5.xlarge|f1idqprd.cr7gx6kubnmh.us-east-1.rds.amazonaws.com|vpc-0e66a16a|subnet-e172e597,subnet-e5892dcf,subnet-03565babbebac306d|2022-06-21 04:33:12|128010802554|Technology Architecture and Digital|1-42165.1.01|050495|Amazon RDS Oracle|PRD|RAJAMRA1|null|null|NOT_REQUESTED|null|NOT_APPLICABLE|null|AWSBKP-D-35_GMTmin5
f1idqqa|F1IDQQA|us-east-1c|oracle-se2|db.m5.xlarge|f1idqqa.cr7gx6kubnmh.us-east-1.rds.amazonaws.com|vpc-0e66a16a|subnet-70bfeb5b,subnet-9f3e31e8,subnet-068e1523419c96a6a|2022-05-26 06:07:12|128010802554|Technology Architecture and Digital|1-42165.1.01|050495|Amazon RDS Oracle|PPRD|RAJAMRA1|null|null|NOT_REQUESTED|null|NOT_APPLICABLE|null|AWSBKP-D-35_GMTmin5
f1mateksprsmprd01|f1mateksprsmprd01|us-east-1b|postgres|db.m6g.large|f1mateksprsmprd01.cr7gx6kubnmh.us-east-1.rds.amazonaws.com|vpc-0e66a16a|subnet-ee72e598,subnet-fe892dd4,subnet-04647d10227fe8649|2022-09-27 03:29:07|128010802554|Technology Architecture and Digital|1-42165.1.01|050495|Amazon RDS PostgreSQL|PRD|SUNDASH6|null|null|NOT_REQUESTED|null|NOT_APPLICABLE|null|NOT_REQUESTED
f1mateksprsmqa01|f1mateksprsmqa01|us-east-1a|postgres|db.m6g.large|f1mateksprsmqa01.cr7gx6kubnmh.us-east-1.rds.amazonaws.com|vpc-0e66a16a|subnet-77bfeb5c,subnet-9b3e31ec,subnet-090a4072da87ee044|2022-08-12 20:01:17|128010802554|Technology Architecture and Digital|1-42165.1.01|050495|Amazon RDS PostgreSQL|TST|SUNDASH6|null|null|NOT_REQUESTED|null|NOT_APPLICABLE|null|NOT_REQUESTED
f1matillioncontainerqa01|f1matillioncontainerqa01|us-east-1b|postgres|db.t3.large|f1matillioncontainerqa01.cr7gx6kubnmh.us-east-1.rds.amazonaws.com|vpc-0e66a16a|subnet-77bfeb5c,subnet-9b3e31ec,subnet-090a4072da87ee044|2022-05-24 19:11:57|128010802554|Technology Architecture and Digital|1-42165.1.01|050495|Amazon RDS PostgreSQL|PPRD|SUNDASH6|null|null|NOT_REQUESTED|null|NOT_APPLICABLE|null|NOT_REQUESTED
f1matilliondroidcontainerqa01|n/a|us-east-1b|postgres|db.m6g.large|f1matilliondroidcontainerqa01.cr7gx6kubnmh.us-east-1.rds.amazonaws.com|vpc-0e66a16a|subnet-ee72e598,subnet-fe892dd4,subnet-04647d10227fe8649|2023-06-14 17:03:55|128010802554|Technology and Infrastructure Service|1-42165.1.01|050495|Amazon Elastic Compute Cloud/CentrifyY|TST|SUNDASH6|null|EBS-NVS-D-35_GMTmin5|SCH-NVS-WRKDAYS_GMTmin5|null|null|null|null
f1matillionec2gbxqa02|f1matillionec2gbxqa02|us-east-1a|postgres|db.m6g.large|f1matillionec2gbxqa02.cr7gx6kubnmh.us-east-1.rds.amazonaws.com|vpc-0e66a16a|subnet-ee72e598,subnet-fe892dd4,subnet-04647d10227fe8649|2024-02-23 10:18:52|128010802554|Technology and Infrastructure Service|1-42165.1.01|050495|Amazon RDS PostgreSQL|QA|RAJAMRA1|null|null|NOT_REQUESTED|null|NOT_APPLICABLE|null|NOT_REQUESTED
f1matillionec2gbxuat01|n/a|us-east-1b|postgres|db.m6g.large|f1matillionec2gbxuat01.cr7gx6kubnmh.us-east-1.rds.amazonaws.com|vpc-0e66a16a|subnet-ee72e598,subnet-fe892dd4,subnet-04647d10227fe8649|2024-03-13 15:42:06|128010802554|Technology and Infrastructure Service|1-42165.1.01|050495|Amazon RDSPostgreSQL|TST|SUNDASH6|null|EBS-NVS-D-35_GMT|SCH-NVS-WRKDAYS_GMTmin5|null|null|null|NOT_REQUESTED
f1matillionetlcontainerprod01|f1matillionetlcontainerprod01|us-east-1b|postgres|db.m6g.large|f1matillionetlcontainerprod01.cr7gx6kubnmh.us-east-1.rds.amazonaws.com|vpc-0e66a16a|subnet-ee72e598,subnet-fe892dd4,subnet-04647d10227fe8649|2022-08-05 18:45:24|128010802554|Technology Architecture and Digital|1-42165.1.01|050495|Amazon RDS PostgreSQL|PRD|SUNDASH6|null|null|NOT_REQUESTED|null|null|null|NOT_REQUESTED
f1matillionetlgbxprd01|f1matillionetlgbxprd01|us-east-1c|postgres|db.m6g.2xlarge|f1matillionetlgbxprd01.cr7gx6kubnmh.us-east-1.rds.amazonaws.com|vpc-0e66a16a|subnet-77bfeb5c,subnet-9b3e31ec,subnet-090a4072da87ee044|2022-08-05 05:36:22|128010802554|Technology Architecture and Digital|1-42165.1.01|050495|Amazon RDS PostgreSQL|PRD|SUNDASH6|null|null|NOT_REQUESTED|null|NOT_APPLICABLE|null|NOT_REQUESTED
f1matillionetlgbxprd02|f1matillionetlgbxprd02|us-east-1b|postgres|db.m6g.2xlarge|f1matillionetlgbxprd02.cr7gx6kubnmh.us-east-1.rds.amazonaws.com|vpc-0e66a16a|subnet-77bfeb5c,subnet-9b3e31ec,subnet-090a4072da87ee044|2023-02-01 11:04:03|128010802554|Technology Architecture and Digital|1-42165.1.01|050495|Amazon RDS PostgreSQL|PRD|SUNDASH6|null|null|NOT_REQUESTED|null|NOT_APPLICABLE|null|NOT_REQUESTED
f1matillionetlgbxprod01|f1matillionetlgbxprod01|us-east-1c|postgres|db.t3.2xlarge|f1matillionetlgbxprod01.cr7gx6kubnmh.us-east-1.rds.amazonaws.com|vpc-0e66a16a|subnet-77bfeb5c,subnet-9b3e31ec,subnet-090a4072da87ee044|2022-03-15 18:38:57|128010802554|TAD|1-42165.1.01|050495|Amazon RDS PostgreSQL|PRD|SUNDASH6|null|null|NOT_REQUESTED|null|NOT_APPLICABLE|null|NOT_REQUESTED
f1-matillionetl-gbx-qa-01|f1matillionetlgbxqa01|us-east-1c|postgres|db.t3.2xlarge|f1-matillionetl-gbx-qa-01.cr7gx6kubnmh.us-east-1.rds.amazonaws.com|vpc-0e66a16a|subnet-77bfeb5c,subnet-9b3e31ec,subnet-090a4072da87ee044|2022-03-08 18:37:29|128010802554|TAD|1-42165.1.01|050495|Amazon RDS PostgreSQL|TST|SUNDASH6|null|null|NOT_REQUESTED|null|NOT_APPLICABLE|null|NOT_REQUESTED
f1matillionimdnacontainerqa01|n/a|us-east-1b|postgres|db.m6g.large|f1matillionimdnacontainerqa01.cr7gx6kubnmh.us-east-1.rds.amazonaws.com|vpc-0e66a16a|subnet-ee72e598,subnet-fe892dd4,subnet-04647d10227fe8649|2023-08-28 09:09:35|128010802554|Technology and Infrastructure Service|1-42165.1.01|050495|Amazon Elastic Compute Cloud/CentrifyY|TST|SUNDASH6|null|EBS-NVS-D-35_GMTmin5|SCH-NVS-WRKDAYS_GMTmin5|null|null|null|null
f1matillionimdnacontaineruat01|n/a|us-east-1b|postgres|db.m6g.large|f1matillionimdnacontaineruat01.cr7gx6kubnmh.us-east-1.rds.amazonaws.com|vpc-0e66a16a|subnet-ee72e598,subnet-fe892dd4,subnet-04647d10227fe8649|2023-08-28 17:08:38|128010802554|Technology Architecture and Digital|null|050495|Amazon RDS PostgreSQL|UAT|RAJAMRA1|null|RDS-AWSBKP-D-35_GMTmin5|null|null|null|null|NOT_REQUESTED
f1matlnec2qa01gbx|n/a|us-east-1a|postgres|db.m6g.large|f1matlnec2qa01gbx.cr7gx6kubnmh.us-east-1.rds.amazonaws.com|vpc-0e66a16a|subnet-ee72e598,subnet-fe892dd4,subnet-04647d10227fe8649|2024-03-12 13:07:15|128010802554|Technology and Infrastructure Service|1-42165.1.01|050495|Amazon Elastic Compute Cloud|TST|SUNDASH6|null|null|null|null|null|null|null
f1matlnec2qa02gbx|n/a|us-east-1b|postgres|db.m6g.large|f1matlnec2qa02gbx.cr7gx6kubnmh.us-east-1.rds.amazonaws.com|vpc-0e66a16a|subnet-ee72e598,subnet-fe892dd4,subnet-04647d10227fe8649|2024-03-13 14:36:48|128010802554|Technology and Infrastructure Service|1-42165.1.01|050495|Amazon RDSPostgreSQL|TST|SUNDASH6|null|EBS-NVS-D-35_GMT|SCH-NVS-WRKDAYS_GMTmin5|null|null|null|NOT_REQUESTED
f1matprd01|f1matprd01|us-east-1c|postgres|db.t3.large|f1matprd01.cr7gx6kubnmh.us-east-1.rds.amazonaws.com|vpc-0e66a16a|subnet-ee72e598,subnet-fe892dd4,subnet-04647d10227fe8649|2022-04-14 14:09:44|128010802554|Technology Architecture and Digital|1-42165.1.01|050495|Amazon RDS PostgreSQL|PRD|SUNDASH6|null|null|NOT_REQUESTED|null|NOT_APPLICABLE|null|NOT_REQUESTED
ff1-etl-framework-container-prod-01|ff1etlframeworkcontainerprod01|us-east-1b|postgres|db.r6g.2xlarge|ff1-etl-framework-container-prod-01.cr7gx6kubnmh.us-east-1.rds.amazonaws.com|vpc-0e66a16a|subnet-ee72e598,subnet-fe892dd4,subnet-04647d10227fe8649|2021-04-21 16:28:54|128010802554|Technology Architecture and Digital|1-42165.1.01|045879|Amazon RDS PostgreSQL|PRD|DENGFA3|null|null|NOT_REQUESTED|null|NOT_APPLICABLE|null|NOT_REQUESTED
