InstanceId|Name|InstanceType|AvailabilityZone|VpcId|SubnetId|PrivateIpAddress|State|acc_id|Launch_date_Time|ImageId|Owner|CostCenter|ClarityID|Environment|APPType|OSType|BillingContact|InstanceState|Stack|ServerType|BackupID|SchedulerID|TerminationDate|Compliance|ExceptionList|ADJoined|CreationDate|ChargeID|SupportScope|Day2Operation|aws:cloudformation:logical-id|aws:cloudformation:stack-name|aws:autoscaling:groupName|aws:ec2:fleet-id|aws:ec2launchtemplate:id|aws:ec2launchtemplate:version|aws:eks:cluster-name|aws:elasticmapreduce:instance-group-role|aws:elasticmapreduce:job-flow-id|Component|RITM|ServiceNowCatalog|ServiceNowInstanceName|vmw:provisioning:blueprint|vmw:provisioning:blueprintResourceName|vmw:provisioning:blueprintVersion|vmw:provisioning:cloudZone|vmw:provisioning:constraints.placement|vmw:provisioning:deployment|vmw:provisioning:flavorMapping|vmw:provisioning:imageMapping|vmw:provisioning:org|vmw:provisioning:project|vmw:provisioning:requester|Purpose|SchedulerID-RITM
i-0a395410a200974d9|GLUSVN-SP910743|m6a.large|us-east-1b|vpc-0e66a16a|subnet-f8892dd2|10.180.104.237|running|128010802554|2023-12-02 05:19:15|ami-4e3a0734|Technology Architecture and Digital|868527|045448|PRD|Hadoop/CentrifyY|redhat/7.9|VERMAAB1|null|null|null|EBS-AWSBKP-D-35_GMTmin5|NOT_APPLICABLE|null|null|null|YES|07/30/2019|EVICO-COMPUTE-ID01|TIS|UTC:02/12/23-05:18:12-MAHESMA7-changeInstanceType-Using-Jenkins-Job|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null
i-0818c98dfa7bf45c5|GLUSVN-SP913577|p2.xlarge|us-east-1b|vpc-0e66a16a|subnet-f8892dd2|10.180.105.60|running|128010802554|2022-08-23 09:30:17|ami-4e3a0734|Technology Architecture and Digital|868527|045448|PRD|Hadoop/CentrifyY|redhat/7.9|VERMAAB1|null|null|null|EBS-AWSBKP-D-35_GMTmin5|NOT_APPLICABLE|null|null|null|YES|07/30/2019|EVICO-COMPUTE-ID01|TIS|UTC:23/08/22-09:30:09-ECHICCH1-start-Using-Jenkins-Job|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null
i-052e3c675ca91a103|GLUSVN-SP910645|m6a.large|us-east-1b|vpc-0e66a16a|subnet-f8892dd2|10.180.104.139|running|128010802554|2023-12-19 14:51:51|ami-4e3a0734|Technology Architecture and Digital|410000806|044711|PRD|Hadoop/CentrifyY|redhat/7.9|PATELHIB|null|null|null|EBS-NVS-D-15_GMTmin5|NOT_APPLICABLE|null|null|null|YES|06/30/2021|EVICO-COMPUTE-ID01|TIS|UTC:19/12/23-14:50:22-ASHOKAM3-changeInstanceType-Using-Jenkins-Job|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null
i-05c1a870f3e0bd559|GLUSVN-SP913562|r4.4xlarge|us-east-1b|vpc-0e66a16a|subnet-f8892dd2|10.180.105.45|running|128010802554|2024-07-08 16:15:48|ami-04aa503cc4b388b86|Development IT|868556|043842|PRD|Hadoop/CentrifyY|windows/2016|DENGFA3|null|null|null|EBS-AWSBKP-D-35_GMTmin5|NOT_APPLICABLE|null|null|null|YES|11/25/2019|null|TIS|UTC:08/07/24-16:13:08-KUMARBR8-restart-Using-Jenkins-Job|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null
i-0f8defe52480d3694|GLUSVN-SP910601|m6a.xlarge|us-east-1b|vpc-0e66a16a|subnet-f8892dd2|10.180.104.95|running|128010802554|2023-12-08 09:59:46|ami-4e3a0734|Development IT|410000806|044711|PRD|Hadoop/CentrifyY|redhat/7.9|PATELHIB|null|null|null|EBS-NVS-D-15_GMTmin5|NOT_APPLICABLE|null|null|null|YES|11/30/2019|EVICO-COMPUTE-ID01|TIS|UTC:08/12/23-09:58:48-ASHOKAM3-changeInstanceType-Using-Jenkins-Job|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null
i-00daa159930383668|GLUSVN-SP913692|r6a.2xlarge|us-east-1b|vpc-0e66a16a|subnet-f8892dd2|10.180.105.175|running|128010802554|2024-07-04 11:54:25|ami-4e3a0734|Development IT|410000806|044711|PRD|Hadoop/CentrifyY|redhat/7.9|PATELHIB|null|null|null|EBS-NVS-D-15_GMTmin5|NOT_REQUESTED|null|null|null|YES|11/30/2019|EVICO-COMPUTE-ID01|TIS|UTC:04/07/24-11:53:14-ASHOKAM3-changeInstanceType-Using-Jenkins-Job|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null
i-0e5d799a98019bf18|GLUSVN-SP910563|r6a.2xlarge|us-east-1b|vpc-0e66a16a|subnet-f8892dd2|10.180.104.57|running|128010802554|2024-07-05 07:35:40|ami-4e3a0734|Development IT|410000806|044711|PRD|Hadoop/CentrifyY|redhat/7.9|PATELHIB|null|null|null|EBS-NVS-D-15_GMTmin5|NOT_APPLICABLE|null|null|null|YES|11/30/2019|EVICO-COMPUTE-ID01|TIS|UTC:05/07/24-07:33:59-ASHOKAM3-changeInstanceType-Using-Jenkins-Job|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null
i-05bbc5506972d0c6e|GLUSVN-SP913573|m6a.large|us-east-1b|vpc-0e66a16a|subnet-f8892dd2|10.180.105.56|running|128010802554|2023-12-19 14:41:56|ami-4e3a0734|Technology Architecture and Digital|410000806|044711|PRD|Hadoop/CentrifyY|redhat/7.9|PATELHIB|null|null|null|EBS-NVS-D-15_GMTmin5|NOT_APPLICABLE|null|null|null|YES|01/05/2020|EVICO-COMPUTE-ID01|TIS|UTC:19/12/23-14:40:11-ASHOKAM3-changeInstanceType-Using-Jenkins-Job|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null
i-0c432e4b77d33cd82|GLUSVN-SP913707|r6a.8xlarge|us-east-1b|vpc-0e66a16a|subnet-f8892dd2|10.180.105.190|running|128010802554|2023-11-25 11:21:57|ami-4e3a0734|Technology Architecture and Digital|20103760|046143|PRD|Amazon Elastic Compute Cloud/CentrifyY|redhat/7.8|GUPTAAJ6|null|null|null|EBS-AWSBKP-D-35_GMTmin5|NOT_APPLICABLE|null|null|null|YES|01/27/2020|null|TIS|UTC:25/11/23-11:09:23-DASHAS5-changeInstanceType-Using-Jenkins-Job|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null
i-06bc2de419b7fd1eb|GLUSVN-ST910715|m6a.2xlarge|us-east-1b|vpc-0e66a16a|subnet-74bfeb5f|10.180.96.209|running|128010802554|2023-11-01 14:02:19|ami-4e3a0734|Technology Architecture and Digital|20103760|046143|TST|Amazon Elastic Compute Cloud/CentrifyY|redhat/7.8|GUPTAAJ6|null|null|null|EBS-AWSBKP-D-35_GMTmin5|NOT_REQUESTED|null|null|EXC_NVS-EC2-EXC012_NA_RITM6031302_20241231/EXC_NVS-EC2-EXC031_NA_RITM6031302_20241231|YES|01/28/2020|null|TIS|UTC:01/11/23-14:01:19-POTTISU1-changeInstanceType-Using-Jenkins-Job|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null
i-02a63218d6679881f|GLUSVN-ST913622|r6a.4xlarge|us-east-1b|vpc-0e66a16a|subnet-74bfeb5f|10.180.97.105|running|128010802554|2023-11-01 14:27:33|ami-4e3a0734|Technology Architecture and Digital|20103760|046143|TST|Amazon Elastic Compute Cloud/CentrifyY|redhat/7.8|GUPTAAJ6|null|null|null|EBS-AWSBKP-D-35_GMTmin5|NOT_REQUESTED|null|null|EXC_NVS-EC2-EXC012_NA_RITM6031302_20241231/EXC_NVS-EC2-EXC031_NA_RITM6031302_20241231|YES|07/31/2021|null|TIS|UTC:01/11/23-14:26:17-SOMASSO1-changeInstanceType-Using-Jenkins-Job|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null
i-0a3e17e191c2fdd2a|GLUSVN-SP913705|m6a.4xlarge|us-east-1b|vpc-0e66a16a|subnet-f8892dd2|10.180.105.188|running|128010802554|2023-11-25 05:35:38|ami-4e3a0734|Technology Architecture and Digital|20103760|046143|PRD|Amazon Elastic Compute Cloud/CentrifyY|redhat/7.8|GUPTAAJ6|null|null|null|EBS-AWSBKP-D-35_GMTmin5|NOT_APPLICABLE|null|null|null|YES|01/29/2020|null|TIS|UTC:25/11/23-05:34:37-BELAMAM1-changeInstanceType-Using-Jenkins-Job|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null
i-0984f9465c5fae99e|GLUSVN-SP912133|t3a.micro|us-east-1b|vpc-0e66a16a|subnet-e7892dcd|10.180.3.122|running|128010802554|2024-08-26 05:49:27|ami-4e3a0734|Technology Architecture and Digital|868914|043745|PRD|Amazon Elastic Compute Cloud/CentrifyY|redhat/7.8|DIVOUDE1|null|null|null|EBS-AWSBKP-D-35_GMTmin5|SCH-NVS-WRKDAYS_GMTmin5|null|null|null|YES|03/17/2020|null|TIS|UTC:15/01/24-14:14:20-MEHARPR2-start-Using-Jenkins-Job|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|IQEXEC-SRVR|RITM5858658
i-09f5690a4ef55878b|GLUSVN-ST913571|r5ad.2xlarge|us-east-1b|vpc-0e66a16a|subnet-74bfeb5f|10.180.97.54|running|128010802554|2024-01-04 01:38:14|ami-4e3a0734|Commercial IT|430000474|046074|TST|Amazon Elastic Compute Cloud/CentrifyY|redhat/7.7|KUMARR1U|null|null|null|EBS-AWSBKP-D-35_GMTmin5|NOT_REQUESTED|null|null|EXC_NVS-EC2-EXC012_NA_RITM5934324_20241206/EXC_NVS-EC2-EXC031_NA_RITM5934324_20241206|YES|03/22/2020|null|TIS|UTC:04/01/24-01:36:58-BABUBMA1-changeInstanceType-Using-Jenkins-Job|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null
i-05357bc6cb4dbdaa6|GLUSVN-ST910595|m6a.large|us-east-1b|vpc-0e66a16a|subnet-74bfeb5f|10.180.96.89|running|128010802554|2023-11-08 08:30:54|ami-4e3a0734|Commercial IT|430000474|046074|TST|Amazon Elastic Compute Cloud/CentrifyY|redhat/7.7|KUMARR1U|null|null|null|EBS-AWSBKP-D-35_GMTmin5|NOT_REQUESTED|null|null|EXC_NVS-EC2-EXC012_NA_RITM5934324_20241206/EXC_NVS-EC2-EXC031_NA_RITM5934324_20241206|YES|03/22/2020|null|TIS|UTC:08/11/23-08:30:45-SINGHA6B-start-Using-Jenkins-Job|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null
i-0cdf4e257954ed963|GLUSVN-ST911951|m7a.medium|us-east-1c|vpc-0e66a16a|subnet-913e31e6|10.180.200.190|stopped|128010802554|2024-08-09 10:08:22|ami-4e3a0734|Technology Architecture and Digital|410000806|044711|TST|Hadoop/CentrifyY|redhat/7.9|PATELHIB|null|null|null|EBS-NVS-D-15_GMTmin5|NOT_REQUESTED|null|null|EXC_NVS-EC2-EXC012_NA_RITM6999388_20240831/EXC_NVS-EC2-EXC031_NA_RITM6031530_20241231|YES|03/23/2018|EVICO-COMPUTE-ID01|TIS|UTC:26/08/24-10:12:10-ASHOKAM3-stop-Using-Jenkins-Job|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null
i-06a7ded62a8e5c61a|GLUSVN-ST910842|m6a.xlarge|us-east-1c|vpc-0e66a16a|subnet-983e31ef|10.180.112.85|stopped|128010802554|2023-11-28 13:29:39|ami-38c5fc47|Development IT|7CGI|032510|TST|Amazon Elastic Compute Cloud|windows/2012|LITTLBR2|null|null|null|EBS-AWSBKP-D-35_GMTmin5|NOT_REQUESTED|null|null|EXC_NVS-EC2-EXC012_NA_RITM6491120_20250331|YES|09/18/2018|null|TIS|UTC:12/06/2023-06:20:32-Underutilized-stop-Using-Jenkins-Job|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null
i-04d3d536e3da40fd1|GLUSVN-SP913965|m6a.xlarge|us-east-1c|vpc-0e66a16a|subnet-ec72e59a|10.180.121.197|running|128010802554|2024-08-26 05:49:36|ami-38c5fc47|Development IT|7CGI|032510|PRD|Amazon Elastic Compute Cloud|windows/2012|LITTLBR2|null|null|null|EBS-AWSBKP-D-35_GMTmin5|SCH-NVS-WRKDAYS_GMTmin5|null|null|null|YES|09/28/2018|null|TIS|UTC:18/11/23-19:30:02-SINGHN1R-start-Using-Jenkins-Job|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|RITM5886421
i-00f3ddf1597ee6f98|GLUSVN-SP911965|r6a.large|us-east-1c|vpc-0e66a16a|subnet-d072e5a6|10.180.204.204|running|128010802554|2023-12-11 08:10:00|ami-4e3a0734|Development IT|410000806|044711|PRD|Hadoop/CentrifyY|redhat/7.9|PATELHIB|null|null|null|EBS-NVS-D-15_GMTmin5|NOT_APPLICABLE|null|null|null|YES|10/24/2018|EVICO-COMPUTE-ID01|TIS|UTC:11/12/23-08:07:31-AVALO1-changeInstanceType-Using-Jenkins-Job|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null
i-09f37bb478e86a0b8|GLUSVN-SP914948|r6a.large|us-east-1c|vpc-0e66a16a|subnet-d072e5a6|10.180.205.176|running|128010802554|2023-12-11 08:25:58|ami-4e3a0734|Development IT|410000806|044711|PRD|Hadoop/CentrifyY|redhat/7.9|PATELHIB|null|null|null|EBS-NVS-D-15_GMTmin5|NOT_APPLICABLE|null|null|null|YES|09/28/2022|EVICO-COMPUTE-ID01|TIS|UTC:11/12/23-08:07:31-AVALO1-changeInstanceType-Using-Jenkins-Job|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null
i-09448271346f769ef|GLUSVN-SP911940|r6a.large|us-east-1c|vpc-0e66a16a|subnet-d072e5a6|10.180.204.179|running|128010802554|2023-12-11 08:18:30|ami-4e3a0734|Development IT|410000806|044711|PRD|Hadoop/CentrifyY|redhat/7.9|PATELHIB|null|null|null|EBS-NVS-D-15_GMTmin5|NOT_APPLICABLE|null|null|null|YES|10/24/2018|EVICO-COMPUTE-ID01|TIS|UTC:11/12/23-08:07:31-AVALO1-changeInstanceType-Using-Jenkins-Job|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null
i-037cc6e581174c34e|GLUSVN-SP911826|m6a.xlarge|us-east-1c|vpc-0e66a16a|subnet-d072e5a6|10.180.204.65|running|128010802554|2023-12-12 14:19:25|ami-4e3a0734|Development IT|410000806|044711|PRD|Hadoop/CentrifyY|redhat/7.9|PATELHIB|null|null|null|EBS-NVS-D-15_GMTmin5|NOT_APPLICABLE|null|null|null|YES|10/24/2018|EVICO-COMPUTE-ID01|TIS|UTC:12/12/23-14:18:25-ASHOKAM3-changeInstanceType-Using-Jenkins-Job|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null
i-0eab1a4049dfbe892|GLUSVN-SP914947|m6a.xlarge|us-east-1c|vpc-0e66a16a|subnet-d072e5a6|10.180.205.175|running|128010802554|2023-12-12 14:09:28|ami-4e3a0734|Development IT|410000806|044711|PRD|Hadoop/CentrifyY|redhat/7.9|PATELHIB|null|null|null|EBS-NVS-D-15_GMTmin5|NOT_APPLICABLE|null|null|null|YES|09/28/2022|EVICO-COMPUTE-ID01|TIS|UTC:12/12/23-14:08:29-ASHOKAM3-changeInstanceType-Using-Jenkins-Job|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null
i-0ba435768e3d10285|GLUSVN-ST911994|m6a.2xlarge|us-east-1c|vpc-0e66a16a|subnet-913e31e6|10.180.200.233|stopped|128010802554|2024-05-02 08:32:41|ami-4e3a0734|Technology Architecture and Digital|410000806|044711|TST|Hadoop/CentrifyY|redhat/7.9|PATELHIB|null|null|null|EBS-NVS-D-15_GMTmin5|NOT_APPLICABLE|null|null|EXC_NVS-EC2-EXC012_NA_RITM6570222_20250412/EXC_NVS-EC2-EXC031_NA_RITM6570222_20250412|YES|07/25/2019|EVICO-COMPUTE-ID01|TIS|UTC:16/05/24-06:45:00-ASHOKAM3-stop-Using-Jenkins-Job|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|RITM6570222
i-07f60ef8ae35dc0fe|GLUSVN-ST914855|m6a.2xlarge|us-east-1c|vpc-0e66a16a|subnet-913e31e6|10.180.201.83|stopped|128010802554|2024-08-06 14:29:04|ami-4e3a0734|Technology Architecture and Digital|410000806|044711|TST|Hadoop/CentrifyY|redhat/7.9|PATELHIB|null|null|null|EBS-NVS-D-15_GMTmin5|NOT_APPLICABLE|null|null|EXC_NVS-EC2-EXC012_NA_RITM6570222_20250412/EXC_NVS-EC2-EXC031_NA_RITM6570222_20250412|YES|07/25/2019|EVICO-COMPUTE-ID01|TIS|UTC:26/08/24-10:12:10-ASHOKAM3-stop-Using-Jenkins-Job|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|RITM6570222
i-02b4fc6a54afe8866|GLUSVN-ST914884|m6a.2xlarge|us-east-1c|vpc-0e66a16a|subnet-913e31e6|10.180.201.112|stopped|128010802554|2024-05-02 14:02:49|ami-4e3a0734|Technology Architecture and Digital|410000806|044711|TST|Hadoop/CentrifyY|redhat/7.9|PATELHIB|null|null|null|EBS-NVS-D-15_GMTmin5|NOT_APPLICABLE|null|null|EXC_NVS-EC2-EXC012_NA_RITM6570222_20250412/EXC_NVS-EC2-EXC031_NA_RITM6570222_20250412|YES|04/24/2021|EVICO-COMPUTE-ID01|TIS|UTC:16/05/24-06:45:00-ASHOKAM3-stop-Using-Jenkins-Job|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|RITM6570222
i-0a0f28dbba387c3a3|GLUSVN-ST914015|r6a.4xlarge|us-east-1c|vpc-0e66a16a|subnet-983e31ef|10.180.113.247|running|128010802554|2023-11-01 14:29:52|ami-4e3a0734|Technology Architecture and Digital|20103760|046143|TST|Amazon Elastic Compute Cloud/CentrifyY|redhat/7.8|GUPTAAJ6|null|null|null|EBS-AWSBKP-D-35_GMTmin5|NOT_REQUESTED|null|null|EXC_NVS-EC2-EXC012_NA_RITM6031302_20241231/EXC_NVS-EC2-EXC031_NA_RITM6031302_20241231|YES|01/28/2020|null|TIS|UTC:01/11/23-14:28:06-POTTISU1-changeInstanceType-Using-Jenkins-Job|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null
i-0bc640ba6f35fea64|GLUSVN-SP910671|m6a.xlarge|us-east-1b|vpc-0e66a16a|subnet-f8892dd2|10.180.104.165|running|128010802554|2024-01-17 09:16:54|ami-4e3a0734|Development IT|410000806|044711|PRD|Hadoop/CentrifyY|redhat/7.9|PATELHIB|null|null|null|EBS-NVS-D-15_GMTmin5|NOT_APPLICABLE|null|null|null|YES|04/27/2020|EVICO-COMPUTE-ID01|TIS|UTC:17/01/24-09:15:25-ASHOKAM3-changeInstanceType-Using-Jenkins-Job|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null
